Material,Rosca,Comprimento Roscado(mm),Carga Máxima (kg),Torque de Montagem (Nm),Torque Máximo (Nm)
Inox (304),M3,1.5875,156.281179138322,0.5989,0.9153
Inox (304),M4,3.175,414.2857142857143,2.1131,3.2544
Inox (304),M6,3.175,625.2154195011337,4.7799,7.356299999999999
Inox (304),M8,4.762499999999999,1260.0,12.8594,19.775000000000002
Inox (304),M10,4.762499999999999,1582.1768707482993,20.1818,31.0411
Inox (304),M12,6.35,2538.91156462585,38.8494,59.777
Inox (304),M14,6.35,2968.4807256235827,52.997,81.5408
Inox (304),M16,6.35,3435.918367346939,70.1052,107.8585
Inox (304),M18,7.9375,4784.263038548753,109.8247,168.9576
Inox (304),M20,7.9375,5368.571428571428,136.9221,210.65460000000002
Inox (304),M22,7.9375,5952.834467120181,167.014,256.93940000000003
Inox (304),M24,9.524999999999999,7730.6575963718815,236.59940000000003,364.00690000000003
Inox (304),M30,11.112499999999999,11340.63492063492,433.8635,667.491
Aço Carbono (A36),M3,1.5875,108.79818594104309,0.4181,0.6441
Aço Carbono (A36),M4,3.175,288.34467120181404,1.469,2.2600000000000002
Aço Carbono (A36),M6,3.175,435.1473922902494,3.3335,5.1189
Aço Carbono (A36),M8,4.762499999999999,876.9614512471655,8.9496,13.7634
Aço Carbono (A36),M10,4.762499999999999,1101.1791383219954,14.0459,21.6056
Aço Carbono (A36),M12,6.35,1767.0748299319728,27.0409,41.6066
Aço Carbono (A36),M14,6.35,2066.077097505669,36.883199999999995,56.7486
Aço Carbono (A36),M16,6.35,2391.3832199546487,48.793400000000005,75.0659
Aço Carbono (A36),M18,7.9375,3329.84126984127,76.4332,117.58779999999999
Aço Carbono (A36),M20,7.9375,3736.5079365079364,95.3042,146.6175
Aço Carbono (A36),M22,7.9375,4143.174603174603,116.24310000000001,178.8338
Aço Carbono (A36),M24,9.524999999999999,5380.544217687075,164.6749,253.346
Aço Carbono (A36),M30,11.112499999999999,7893.061224489796,301.96990000000005,464.5656
