,Tamanho,Comprimento
0,M3,4
1,M3,5
2,M3,6
3,M3,8
4,M3,10
5,M3,12
6,M3,16
7,M3,20
8,M3,25
9,M3,30
10,M3,35
11,M3,40
12,M3,45
13,M3,50
14,M4,6
15,M4,8
16,M4,10
17,M4,12
18,M4,16
19,M4,20
20,M4,25
21,M4,30
22,M4,35
23,M4,40
24,M4,45
25,M4,50
26,M4,60
27,M5,8
28,M5,10
29,M5,12
30,M5,16
31,M5,20
32,M5,25
33,M5,30
34,M5,35
35,M5,40
36,M5,45
37,M5,50
38,M5,60
39,M5,70
40,M6,10
41,M6,12
42,M6,16
43,M6,20
44,M6,25
45,M6,30
46,M6,35
47,M6,40
48,M6,45
49,M6,50
50,M6,60
51,M6,70
52,M6,80
53,M8,12
54,M8,16
55,M8,20
56,M8,25
57,M8,30
58,M8,35
59,M8,40
60,M8,45
61,M8,50
62,M8,60
63,M8,70
64,M8,80
65,M8,90
66,M8,100
67,M10,16
68,M10,20
69,M10,25
70,M10,30
71,M10,35
72,M10,40
73,M10,45
74,M10,50
75,M10,60
76,M10,70
77,M10,80
78,M10,90
79,M10,100
80,M10,110
81,M10,120
82,M12,20
83,M12,25
84,M12,30
85,M12,35
86,M12,40
87,M12,45
88,M12,50
89,M12,60
90,M12,70
91,M12,80
92,M12,90
93,M12,100
94,M12,110
95,M12,120
96,M12,130
97,M12,140
98,M16,25
99,M16,30
100,M16,35
101,M16,40
102,M16,45
103,M16,50
104,M16,60
105,M16,70
106,M16,80
107,M16,90
108,M16,100
109,M16,110
110,M16,120
111,M16,130
112,M16,140
113,M16,150
114,M20,30
115,M20,35
116,M20,40
117,M20,45
118,M20,50
119,M20,60
120,M20,70
121,M20,80
122,M20,90
123,M20,100
124,M20,110
125,M20,120
126,M20,130
127,M20,140
128,M20,150
129,M20,160
130,M20,180
131,M20,200
132,M24,40
133,M24,45
134,M24,50
135,M24,60
136,M24,70
137,M24,80
138,M24,90
139,M24,100
140,M24,110
141,M24,120
142,M24,130
143,M24,140
144,M24,150
145,M24,160
146,M24,180
147,M24,200
148,M27,50
149,M27,60
150,M27,70
151,M27,80
152,M27,90
153,M27,100
154,M27,110
155,M27,120
156,M27,130
157,M27,140
158,M27,150
159,M27,160
160,M27,180
161,M27,200
162,M30,60
163,M30,70
164,M30,80
165,M30,90
166,M30,100
167,M30,110
168,M30,120
169,M30,130
170,M30,140
171,M30,150
172,M30,160
173,M30,180
174,M30,200
