Tamanho,5.8,8.8,10.9,12.9,A2-70,A4-70,A4-80
M3,0.73,1.40,1.93,2.20,1.00,1.00,1.13
M4,1.73,3.47,4.73,5.40,2.40,2.40,2.80
M5,3.47,7.00,9.47,10.80,4.80,4.80,5.60
M6,6.00,12.00,16.00,18.67,8.00,8.00,9.33
M8,14.67,29.33,40.00,46.67,20.00,20.00,23.33
M10,29.33,58.00,80.00,93.33,40.00,40.00,46.67
M12,51.34,100.00,140.00,160.00,70.00,70.00,80.00
M14,83.34,163.34,226.68,260.01,113.34,113.34,130.00
M16,130.00,253.35,353.35,400.02,180.00,180.00,206.68
M18,180.01,353.35,500.03,566.70,253.35,253.35,286.68
M20,266.68,520.03,733.37,833.38,373.35,373.35,420.02
M22,360.02,700.04,966.72,1100.05,500.03,500.03,560.03
M24,453.36,900.04,1266.73,1400.07,633.36,633.36,700.04
M27,646.70,1266.73,1733.42,1933.43,900.04,900.04,1000.05
M30,900.05,1800.09,2466.79,2733.47,1266.73,1266.73,1400.07
